Mount     ALT  LIMIT+         20160905.11:54:20.290    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:20.290    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:22.298    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:22.298    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:24.370    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:24.370    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:26.750    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:26.750    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:28.566    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:28.567    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:30.546    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:30.546    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:32.539    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:32.539    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:34.546    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:34.546    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:36.375    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:36.375    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:38.554    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:38.554    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:40.550    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:40.550    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:42.750    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:42.750    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:44.435    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:44.435    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:46.554    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:46.554    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:48.554    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:48.554    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:50.551    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:50.551    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:52.538    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:52.538    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:54.418    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:54.456    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:56.290    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:56.290    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:58.294    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:58.294    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:55:00.291    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:55:00.291    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:55:02.510    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:55:02.510    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:55:04.292    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:55:04.292    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:55:06.278    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:55:06.278    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:55:08.295    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:55:08.295    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:55:10.333    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:55:10.333    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:55:12.287    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:55:12.287    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:55:14.283    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:55:14.284    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:55:16.430    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:55:16.430    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:55:18.285    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:55:18.285    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:55:20.293    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:55:20.293    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:00.626    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:00.626    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:02.748    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:02.748    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:04.734    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:04.735    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:06.735    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:06.736    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:08.733    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:08.733    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:10.740    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:10.740    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:12.735    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:12.735    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:14.735    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:14.735    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:16.727    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:16.727    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:18.722    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:18.722    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:20.731    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:20.731    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:22.731    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:22.731    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:24.729    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:24.729    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:26.727    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:26.727    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:28.726    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:28.726    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:30.733    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:30.733    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:32.726    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:32.727    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:34.755    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:34.755    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:36.733    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:36.733    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:38.731    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:38.731    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:40.726    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:40.726    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:42.732    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:42.732    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:44.731    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:44.731    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:46.733    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:46.733    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:48.737    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:48.737    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:50.726    	ALT  LIMIT+                                                                                        
