  yyyymmdd   hhmmss      AZ           ALT         Dero          HA          DEC 
  20160714  105116.40   0.592455903  32.714205882  -141.642204693  -38.8185048  89.2641361
  20160714  105116.50   0.592450557  32.714209540  -141.642618145  -38.8180870  89.2641361
  20160714  105116.60   0.592445211  32.714213198  -141.643031597  -38.8176692  89.2641361
  20160714  105116.70   0.592439866  32.714216856  -141.643445050  -38.8172514  89.2641361
  20160714  105116.80   0.592434520  32.714220515  -141.643858502  -38.8168336  89.2641361
  20160714  105116.90   0.592429174  32.714224173  -141.644271954  -38.8164158  89.2641361
  20160714  105117.00   0.592423828  32.714227831  -141.644685406  -38.8159979  89.2641361
  20160714  105117.10   0.592418483  32.714231489  -141.645098858  -38.8155801  89.2641361
  20160714  105117.20   0.592413137  32.714235147  -141.645512310  -38.8151623  89.2641361
  20160714  105117.30   0.592407791  32.714238805  -141.645925762  -38.8147445  89.2641361
  20160714  105117.40   0.592402445  32.714242463  -141.646339214  -38.8143267  89.2641361
  20160714  105117.50   0.592397099  32.714246120  -141.646752666  -38.8139089  89.2641361
  20160714  105117.60   0.592391753  32.714249778  -141.647166118  -38.8134911  89.2641361
  20160714  105117.70   0.592386407  32.714253436  -141.647579570  -38.8130733  89.2641361
  20160714  105117.80   0.592381061  32.714257094  -141.647993022  -38.8126555  89.2641361
  20160714  105117.90   0.592375715  32.714260752  -141.648406474  -38.8122377  89.2641361
  20160714  105118.00   0.592370369  32.714264409  -141.648819926  -38.8118199  89.2641361
  20160714  105118.10   0.592365023  32.714268067  -141.649233378  -38.8114020  89.2641361
  20160714  105118.20   0.592359677  32.714271725  -141.649646830  -38.8109842  89.2641361
  20160714  105118.30   0.592354330  32.714275382  -141.650060282  -38.8105664  89.2641361
  20160714  105118.40   0.592348984  32.714279040  -141.650473734  -38.8101486  89.2641361
  20160714  105118.50   0.592343638  32.714282698  -141.650887185  -38.8097308  89.2641361
  20160714  105118.60   0.592338292  32.714286355  -141.651300637  -38.8093130  89.2641361
  20160714  105118.70   0.592332945  32.714290013  -141.651714089  -38.8088952  89.2641361
  20160714  105118.80   0.592327599  32.714293670  -141.652127541  -38.8084774  89.2641361
  20160714  105118.90   0.592322253  32.714297327  -141.652540993  -38.8080596  89.2641361
  20160714  105119.00   0.592316906  32.714300985  -141.652954444  -38.8076418  89.2641361
  20160714  105119.10   0.592311560  32.714304642  -141.653367896  -38.8072240  89.2641361
  20160714  105119.20   0.592306213  32.714308300  -141.653781348  -38.8068061  89.2641361
  20160714  105119.30   0.592300867  32.714311957  -141.654194799  -38.8063883  89.2641361
  20160714  105119.40   0.592295520  32.714315614  -141.654608251  -38.8059705  89.2641361
  20160714  105119.50   0.592290174  32.714319271  -141.655021703  -38.8055527  89.2641361
  20160714  105119.60   0.592284827  32.714322929  -141.655435154  -38.8051349  89.2641361
  20160714  105119.70   0.592279480  32.714326586  -141.655848606  -38.8047171  89.2641361
  20160714  105119.80   0.592274134  32.714330243  -141.656262057  -38.8042993  89.2641361
  20160714  105119.90   0.592268787  32.714333900  -141.656675509  -38.8038815  89.2641361
  20160714  105120.00   0.592263440  32.714337557  -141.657088961  -38.8034637  89.2641361
  20160714  105120.10   0.592258094  32.714341214  -141.657502412  -38.8030459  89.2641361
  20160714  105120.20   0.592252747  32.714344871  -141.657915864  -38.8026281  89.2641361
  20160714  105120.30   0.592247400  32.714348528  -141.658329315  -38.8022102  89.2641361
  20160714  105120.40   0.592242053  32.714352185  -141.658742767  -38.8017924  89.2641361
  20160714  105120.50   0.592236706  32.714355842  -141.659156218  -38.8013746  89.2641361
  20160714  105120.60   0.592231359  32.714359499  -141.659569669  -38.8009568  89.2641361
  20160714  105120.70   0.592226012  32.714363156  -141.659983121  -38.8005390  89.2641361
  20160714  105120.80   0.592220665  32.714366812  -141.660396572  -38.8001212  89.2641361
  20160714  105120.90   0.592215318  32.714370469  -141.660810024  -38.7997034  89.2641361
  20160714  105121.00   0.592209971  32.714374126  -141.661223475  -38.7992856  89.2641361
  20160714  105121.10   0.592204624  32.714377783  -141.661636926  -38.7988678  89.2641361
  20160714  105121.20   0.592199277  32.714381439  -141.662050378  -38.7984500  89.2641361
  20160714  105121.30   0.592193930  32.714385096  -141.662463829  -38.7980322  89.2641361
  20160714  105121.40   0.592188583  32.714388753  -141.662877280  -38.7976143  89.2641361
  20160714  105121.50   0.592183235  32.714392409  -141.663290731  -38.7971965  89.2641361
  20160714  105121.60   0.592177888  32.714396066  -141.663704183  -38.7967787  89.2641361
  20160714  105121.70   0.592172541  32.714399722  -141.664117634  -38.7963609  89.2641361
  20160714  105121.80   0.592167194  32.714403379  -141.664531085  -38.7959431  89.2641361
  20160714  105121.90   0.592161846  32.714407035  -141.664944536  -38.7955253  89.2641361
  20160714  105122.00   0.592156499  32.714410691  -141.665357987  -38.7951075  89.2641361
  20160714  105122.10   0.592151151  32.714414348  -141.665771438  -38.7946897  89.2641361
  20160714  105122.20   0.592145804  32.714418004  -141.666184890  -38.7942719  89.2641361
  20160714  105122.30   0.592140457  32.714421660  -141.666598341  -38.7938541  89.2641361
  20160714  105122.40   0.592135109  32.714425317  -141.667011792  -38.7934362  89.2641361
  20160714  105122.50   0.592129761  32.714428973  -141.667425243  -38.7930184  89.2641361
  20160714  105122.60   0.592124414  32.714432629  -141.667838694  -38.7926006  89.2641361
  20160714  105122.70   0.592119066  32.714436285  -141.668252145  -38.7921828  89.2641361
  20160714  105122.80   0.592113719  32.714439942  -141.668665596  -38.7917650  89.2641361
  20160714  105122.90   0.592108371  32.714443598  -141.669079047  -38.7913472  89.2641361
